0,3200,0,0,0,1400,0,0,0,2100,0,0,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11000,212400,11000,10999,11000,2705666200,11000,119845104,11000,2743322000,11000,120989000,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11100,223400,11100,11099,11100,2583331400,11100,121356466,11100,2603283200,11100,123198900,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11200,187700,11200,11199,11200,1425663100,11200,122550657,11200,1508926200,11200,125428800,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11300,138400,11300,11299,11300,1354754500,11300,127034657,11300,1564043900,11300,127678700,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11400,314800,11400,11399,11400,2647244800,11400,128614917,11400,2219164300,11400,129948600,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11500,252500,11500,11499,11500,2361812100,11500,131905029,11500,2556397300,11500,132238500,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11600,163600,11600,11599,11600,3075162800,11600,133539287,11600,2483587200,11600,134548400,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11700,132700,11700,11699,11700,1978185300,11700,135509517,11700,2138280500,11700,136878300,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11800,103900,11800,11799,11800,3156991000,11800,137245968,11800,1822704600,11800,139228200,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11900,376200,11900,11899,11900,2662855100,11900,140015533,11900,1630753000,11900,141598100,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
12000,535700,12000,11999,12000,2622919400,12000,143076076,12000,2739778500,12000,143988000,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
12100,184300,12100,12099,12100,3483127900,12100,145442079,12100,2333117500,12100,146397900,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
12200,120300,12200,12199,12200,1607831400,12200,147302925,12200,2111281500,12200,148827800,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
12300,233800,12300,12299,12300,2889403900,12300,150293780,12300,1908729100,12300,151277700,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
12400,111700,12400,12399,12400,2093836200,12400,151726563,12400,3521028800,12400,153747600,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
12500,150300,12500,12499,12500,2915886100,12500,152750279,12500,2598050600,12500,156237500,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
12600,138000,12600,12599,12600,1970639900,12600,157537896,12600,1932080000,12600,158747400,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
12700,135900,12700,12699,12700,2080832200,12700,159232761,12700,1835097300,12700,161277300,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
